r,Phi,phi
2.657884021298486e-09,2.3023694599162914,-1.4868687930081324
2.6897664063234566e-09,2.3023694152567953,-1.4926467364529132
2.7216487913484274e-09,2.3023693721575613,-1.498222816793502
2.7535311763733982e-09,2.3023693305467456,-1.5036063289602775
2.785413561398369e-09,2.302369290356593,-1.508806038988132
2.8172959464233402e-09,2.30236925152316,-1.513830219723668
2.849178331448311e-09,2.302369213986061,-1.5186866837512434
2.881060716473282e-09,2.3023691776882322,-1.523382813782702
2.912943101498253e-09,2.302369142575717,-1.5279255907316411
2.9448254865232243e-09,2.302369108597462,-1.53232161967167
2.976707871548195e-09,2.3023690757051334,-1.5365771538589796
3.008590256573166e-09,2.3023690438529463,-1.5406981169824556
3.0404726415981366e-09,2.3023690129975023,-1.5446901237892274
3.1042374116480782e-09,2.3023689541143177,-1.5523082955254643
3.16800218169802e-09,2.302368898750785,-1.5594711027684793
3.2317669517479614e-09,2.3023688466318837,-1.5662141270332408
3.2955317217979034e-09,2.3023687975089397,-1.5725695411691263
3.359296491847845e-09,2.302368751156654,-1.5785664938370256
3.4230612618977866e-09,2.3023687073705155,-1.5842314443269312
3.4868260319477286e-09,2.3023686659645386,-1.5895884549133896
3.5505908019976706e-09,2.302368626769288,-1.594659446793563
3.6143555720476122e-09,2.3023685896301407,-1.5994644247015186
3.678120342097554e-09,2.3023685544057604,-1.6040216745046803
3.741885112147496e-09,2.302368520966748,-1.608347937433726
3.8056498821974374e-09,2.3023684891944547,-1.6124585640513263
3.869414652247379e-09,2.3023684589799265,-1.6163676506084217
3.9331794222973214e-09,2.3023684302229688,-1.6200881600534678
3.996944192347263e-09,2.3023684028313145,-1.623632029637454
4.060708962397205e-09,2.302368376719884,-1.6270102667851276
4.108532539934661e-09,2.302368357928974,-1.6294413917289088
4.156356117472118e-09,2.3023683397829573,-1.6317890818795815
4.204179695009574e-09,2.302368322252658,-1.6340571119260832
4.25200327254703e-09,2.3023683053105315,-1.6362490454826444
4.2998268500844864e-09,2.3023682889305572,-1.6383682490955584
4.347650427621943e-09,2.302368273088137,-1.6404179051774306
4.395474005159399e-09,2.302368257760004,-1.6424010239617477
4.443297582696855e-09,2.3023682429241368,-1.6443204545616648
